EJERCICIO;MES;ADUANA1;ADUANA2;TIPO_OPERACION;SERIAL;CAPITULO;PARTIDA;SUBPARTIDA;PAIS;PESO;CIF;FOB
2025;10;2;2;2;1;71;7103;71031000;AE ;29540.9;11186.28;7385.5
2025;5;26;99999;2;1;48;4823;48239099;TE ;1959.9;6884.78;6783.04
2025;1;9;9;2;1;96;9603;96035010;HN ;355;13977.95;13974.13
2025;7;3;3;2;1;17;1704;17049000;US ;10292.38;22543.96;20209.4
2025;7;5;5;2;3;61;6115;61153000;CO ;118.77;3047.79;2946.24
2025;2;7;7;2;3;95;9503;95030060;CO ;184.91;1091.87;1053.36
2025;4;9;9;2;1;84;8424;84241000;HN ;4159;24352.62;23901
2025;11;4;4;2;1;20;2001;20011000;GT ;898.12;1324.68;1158.75
2025;5;8;8;2;3;84;8448;84482000;US ;29.7;3709.32;3709.32
2025;6;4;4;2;1;21;2103;21032000;GT ;362.8;360.43;336
2025;11;3;3;2;1;82;8201;82014020;US ;2593.79;61957.62;60408.68
2025;1;9;9;2;1;87;8708;87088020;CR ;18.4;332.86;282.6
2025;7;7;7;2;1;39;3925;39251000;GT ;4378;1673.51;1505
2025;9;9;9;2;1;39;3919;39199000;HN ;464;2290.64;2253.61
2025;10;7;7;2;1;84;8481;84818010;GT ;128.9;1207.1;1177.2
2025;11;9;9;2;1;49;4911;49111010;CR ;1.48;51.67;50.43
2025;9;2;2;2;3;48;4820;48205000;CO ;1360.34;8837.55;8648.64
2025;1;8;8;2;3;61;6103;61034300;MX ;1235.16;39748.71;39748.71
2025;1;5;5;2;3;73;7326;73262090;CO ;2296.57;14537.36;13837.92
2025;10;3;3;2;3;85;8544;85443000;US ;58559.6;1536429.28;1536429.28
2025;10;2;2;2;3;69;6913;69139000;CO ;44328.98;129913;126479.64
2025;4;9;9;2;1;62;6208;62089100;CR ;10.6;239.76;234.24
2025;5;9;9;2;1;72;7226;72269910;NI ;51829.73;70687.66;68278.55
2025;8;9;9;2;1;72;7210;72107010;HN ;117178.79;214092.07;208679.83
2025;7;5;5;2;3;70;7013;70133700;MX ;632.21;1106.58;1016.64
2025;3;3;3;2;3;96;9618;96180000;CO ;121.6;10422.01;9770.92
2025;1;9;9;2;1;84;8424;84248210;PA ;1847.4;28339.48;28092
2025;7;9;9;2;3;64;6402;64029190;PA ;136.92;2085.43;2028.2
2025;4;8;8;2;1;96;9603;96034000;BZ ;66.83;661.86;611.38
2025;5;18;99999;2;3;62;6204;62046300;US ;1.5;15;15
2025;10;9;9;2;3;87;8708;87089900;AD ;670;1282.73;1230
2025;4;11;11;2;3;40;4016;40169300;HN ;4.21;161.73;159.77
2025;10;3;3;2;1;21;2101;21011100;US ;35.48;159.6;60
2025;4;9;9;2;1;65;6506;65061010;CR ;20.8;156.48;152.57
2025;5;5;5;2;3;33;3304;33043000;PE ;1020.93;7199.61;6922.56
2025;5;3;3;2;3;61;6109;61091000;MX ;3.46;54;54
2025;8;7;7;2;1;69;6905;69051000;GT ;15909.09;4805.48;4300
2025;1;5;5;2;3;55;5511;55111000;PE ;56.41;946.78;907.2
2025;4;9;9;2;1;83;8301;83012000;HN ;6;50.4;47.11
2025;7;7;7;2;3;95;9504;95044000;GT ;269.84;920.46;914.4
2025;8;9;9;2;1;63;6310;63101000;NI ;1.89;2.61;2.58
2025;10;8;8;2;1;21;2103;21031000;US ;168.05;405.53;364
2025;1;2;2;2;3;82;8215;82152000;CO ;408.29;2130.85;2054.4
2025;3;3;3;2;3;49;4908;49089000;JO ;0.6;111.39;111.39
2025;9;16;99999;2;3;96;9612;96121010;TE ;39.38;790.56;790.56
2025;7;7;7;2;1;73;7308;73083000;GT ;120;695.42;538.02
2025;12;4;4;2;1;20;2008;20089700;GT ;303.64;923.56;899.65
2025;8;11;11;2;1;63;6306;63061200;HN ;67.78;457.52;437.48
2025;9;9;9;2;1;94;9403;94039100;NI ;8.64;34.97;30.28
2025;8;21;99999;2;3;33;3305;33059000;CR ;872.32;4159.98;4159.98
2025;5;3;3;2;3;60;6004;60041010;NI ;17.4;39.42;35.44
2025;4;9;9;2;1;48;4803;48030000;HN ;88286.9;123808.24;117345.65
2025;10;9;9;2;1;76;7604;76042100;NI ;3784.68;24019.59;23647.26
2025;5;5;5;2;3;95;9503;95030070;PE ;7920.93;62712.84;60249.06
2025;11;11;11;2;3;84;8484;84849000;HN ;39.24;187.9;187.33
2025;3;9;9;2;1;83;8301;83012000;NI ;8.5;234.58;122.12
2025;11;9;9;2;1;21;2106;21069091;NI ;2650.3;5720.41;5088
2025;3;17;99999;2;3;37;3707;37071000;TE ;250;2053.75;2023.4
2025;12;2;2;2;3;82;8202;82021000;MX ;144.79;834.7;786.24
2025;2;9;9;2;3;18;1806;18069000;NI ;191.19;5313.4;5139.78
2025;4;7;7;2;1;96;9613;96138020;GT ;225;3780.19;3726
2025;10;4;4;2;1;48;4811;48119030;GT ;2429.5;9654.21;9172.48
2025;7;9;9;2;1;87;8708;87083010;HN ;3390.05;39207.84;39023.49
2025;2;11;11;2;1;48;4810;48101923;HN ;5784.65;46277.2;45072.38
2025;8;9;9;2;1;85;8539;85399090;CR ;74.8;5451.22;5043.13
2025;10;9;9;2;1;30;3004;30041010;CR ;55.65;4049.96;4024.31
2025;9;8;8;2;3;72;7208;72085100;BZ ;3080;2544;2252.59
2025;12;18;99999;2;3;85;8532;85322400;MY ;1;350;350
2025;12;2;2;2;3;82;8205;82054000;CO ;807.68;11621.14;11316.96
2025;2;9;9;2;3;96;9603;96034000;CR ;136.42;878.47;878.47
2025;5;3;3;2;3;61;6101;61013000;CA ;44.28;2766.35;2766.35
2025;1;7;7;2;1;85;8536;85366900;GT ;27.32;447.37;436.18
2025;1;4;4;2;1;84;8424;84241000;GT ;1686;17372.73;16898
2025;10;8;8;2;1;83;8311;83111010;GT ;726.62;2732.03;2602.72
2025;8;2;2;2;3;82;8214;82142000;PE ;383.78;4533.9;4379.04
2025;6;9;9;2;1;48;4811;48115991;PA ;9993.2;77639.7;71497.24
2025;5;9;9;2;3;90;9027;90278990;NI ;168;21208.75;20500
2025;3;3;3;2;3;61;6110;61103000;CA ;675.93;63850.09;63850.09
2025;10;3;3;2;1;83;8306;83062100;MX ;19.35;1385;1385
2025;3;9;9;2;1;84;8438;84386010;HN ;150;1515;1200
2025;5;9;9;2;1;96;9608;96084000;CR ;657.95;5045.77;4813.93
2025;7;3;3;2;3;85;8536;85364910;GT ;38;1335.06;1335.06
2025;10;8;8;2;1;44;4415;44152000;GT ;8522.5;843.75;500
2025;9;11;11;2;1;70;7019;70191300;HN ;13.74;51.63;50.22
2025;5;9;9;2;1;73;7308;73089000;NI ;96706.36;194642.45;186126.79
2025;10;2;2;2;3;69;6914;69149000;PE ;2853.42;5343;5187.6
2025;10;9;9;2;1;44;4410;44101190;HN ;1257;3388.15;3038.7
2025;5;5;5;2;3;33;3305;33059000;MX ;816.16;1974.08;1827.48
2025;8;9;9;2;1;87;8708;87083090;NI ;2496.54;28693.52;27917.87
2025;6;8;8;2;3;48;4804;48043920;DO ;2795;6580.63;5695.2
2025;2;9;9;2;1;85;8536;85362010;NI ;7.43;64.77;63.43
2025;2;9;9;2;1;54;5402;54022000;HN ;1395;6338.65;6234.9
2025;10;2;2;2;3;82;8211;82119200;CO ;2227.34;41238.63;40264.32
2025;11;4;4;2;3;48;4821;48219000;GT ;572.15;4064.61;4062.99
2025;11;11;11;2;1;39;3918;39181000;HN ;986;3158.08;3101.7
2025;12;8;8;2;3;61;6106;61062000;CA ;1060.66;32701.87;32701.87
2025;12;11;11;2;1;40;4016;40169300;HN ;9.38;236.09;227.26
2025;12;4;4;2;1;90;9018;90189000;GT ;4.25;1177.13;1177.13
2025;12;16;99999;2;3;61;6110;61102000;HN ;37.77;73;73
2025;3;9;9;2;1;62;6204;62045300;HN ;302.39;648.01;582.48
2025;9;9;9;2;3;21;2106;21069079;NI ;3932.61;128241.47;124753.27
2025;6;5;5;2;3;39;3920;39202090;PE ;84.33;652.38;619.2
2025;12;9;9;2;1;96;9612;96121010;NI ;344;3391.21;3279.64
2025;6;9;9;2;1;18;1806;18062090;HN ;1204.32;3868.34;3671.8
2025;3;3;3;2;3;60;6006;60062200;CN ;0.9;4;4
2025;5;17;99999;2;3;58;5806;58062000;TE ;5544.09;95782.86;95782.86
2025;11;9;9;2;1;30;3004;30049011;PA ;59.92;9432.72;9303.46
2025;11;3;3;2;1;85;8517;85176910;MX ;14.74;3225.4;3134.46
2025;1;11;11;2;1;82;8202;82029110;HN ;39.3;1139.98;1111.48
2025;3;9;9;2;1;56;5602;56022900;HN ;78;137.78;135.61
2025;8;3;3;2;1;48;4819;48191000;CH ;1.82;4650;4000
2025;5;5;5;2;3;48;4818;48182000;PE ;2192.34;12242.2;11666.88
2025;10;2;2;2;3;58;5808;58089000;PE ;197.29;3052.45;2930.4
2025;9;9;9;2;3;94;9405;94052900;NI ;890.3;7664.98;7345.88
2025;2;9;9;2;3;40;4008;40082190;NI ;348.85;2073.28;2048.19
2025;5;4;4;2;1;84;8413;84138100;GT ;162.35;5360.42;5267.52
2025;11;3;3;2;3;55;5514;55141190;US ;2.5;35.72;32
2025;8;21;99999;2;3;39;3918;39189000;CR ;5.56;40.68;40.68
2025;4;9;9;2;1;61;6107;61072100;NI ;106.5;7208.23;6861.87
2025;4;7;7;2;1;48;4821;48211000;GT ;2138.5;20251.44;19447.85
2025;3;2;2;2;3;84;8471;84716000;MX ;219.76;2527.38;2383.68
2025;5;9;9;2;3;76;7616;76169990;HN ;15;120.53;120.53
2025;6;8;8;2;1;76;7612;76129090;DO ;7;4.1;4
2025;5;7;7;2;1;11;1101;11010000;GT ;1237528;784416.1;744927.7
2025;5;7;7;2;1;8;804;8041000;GT ;141.75;1657.85;1640.5
2025;9;9;9;2;1;84;8467;84672900;CR ;17.73;201.18;196.15
2025;2;5;5;2;3;62;6211;62111100;GT ;766.74;13231.67;13105.44
2025;7;8;8;2;1;39;3926;39269099;GT ;5.58;57.97;55.8
2025;1;5;5;2;3;39;3921;39211100;PE ;265.5;1493.2;1425.6
2025;11;9;9;2;1;39;3923;39233099;HN ;32596.27;85211.41;78831.29
2025;10;3;3;2;1;97;9701;97019120;TE ;21;795.33;780
2025;6;5;5;2;3;20;2008;20089990;CO ;7142.74;24324.26;23242.94
2025;7;5;5;2;1;68;6811;68118200;GT ;48024;18159.68;16704
2025;10;5;5;2;1;48;4821;48219000;GT ;657;4283.61;4118.85
2025;3;9;9;2;1;82;8203;82031090;PA ;14.97;316.79;302.54
2025;7;9;9;2;1;87;8708;87089300;CR ;6.7;216.38;184.02
2025;9;8;8;2;1;85;8519;85198190;MX ;50;171.12;150
2025;4;3;3;2;1;21;2103;21039000;GB ;78.4;664.61;533
2025;9;3;3;2;3;61;6101;61013000;CA ;183.16;10257.95;10257.95
2025;12;5;5;2;3;55;5508;55081010;MX ;99.95;1487.19;1487.19
2025;1;9;9;2;3;39;3920;39202019;HN ;19061.58;47484.82;46486.53
2025;3;11;11;2;1;63;6307;63071000;HN ;239.4;521.14;507.26
2025;10;9;9;2;3;96;9603;96032100;NI ;39.57;550.13;535.98
2025;4;5;5;2;3;16;1605;16055400;GT ;1012;5949.31;5781.6
2025;6;3;3;2;1;95;9503;95030090;US ;35.5;219.74;210.07
2025;4;7;7;2;1;61;6107;61071100;GT ;216.93;3334.73;3288.95
2025;5;2;2;2;3;61;6102;61023000;US ;86.88;6219.62;6219.62
2025;11;2;2;2;3;95;9503;95030070;PE ;7659.6;63489.48;61756.92
2025;12;2;2;2;3;42;4202;42022200;CI ;888.7;3021.49;2937.6
2025;1;9;9;2;3;34;3405;34051000;CR ;38.4;1084.26;1058.4
2025;7;9;9;2;3;84;8413;84137000;HN ;44.44;669.97;661.78
2025;11;21;99999;2;3;34;3402;34029020;TE ;7249.15;57670.63;57670.63
2025;5;9;9;2;1;70;7009;70099100;HN ;5;65.3;60
2025;7;11;11;2;1;68;6801;68010000;HN ;10335;624.28;527.74
2025;12;5;5;2;1;7;712;7129090;GT ;358.99;5529.61;5405.38
2025;9;2;2;2;3;84;8424;84248900;CO ;900;8744.1;8467.2
2025;10;20;99999;2;3;48;4810;48103110;TE ;8044.45;13000;13000
2025;10;9;9;2;1;48;4811;48115991;PA ;1400.05;11052.14;10177.75
2025;5;9;9;2;3;61;6103;61034200;AR ;520.46;17743.17;17544
2025;9;9;9;2;1;87;8716;87169000;HN ;65.02;226.27;220.61
2025;8;2;2;2;3;33;3304;33041000;PE ;251.83;7436.91;7261.12
2025;2;5;5;2;3;71;7117;71179000;CO ;2.2;51.14;48.96
2025;7;9;9;2;3;39;3907;39079990;NI ;500;6273.75;5750
2025;6;2;2;2;1;9;901;9011130;AE ;18975;151119.93;147441.03
2025;11;2;2;2;3;67;6702;67029000;PE ;1600.1;17924.79;17400.84
2025;11;3;3;2;3;61;6108;61089200;US ;5.85;518.85;518.85
2025;5;9;9;2;1;29;2905;29053200;CR ;4180;12038.4;11039.22
2025;8;11;11;2;1;64;6404;64041990;HN ;2.34;9.93;9.8
2025;10;11;11;2;1;85;8501;85014000;HN ;119.25;1234.52;1165.2
2025;11;11;11;2;1;33;3302;33029090;HN ;381;5814.58;5523.84
2025;5;9;9;2;1;32;3214;32141011;PA ;3706.17;11167.25;10589.26
2025;6;8;8;2;3;62;6206;62064000;US ;13435;371370.02;334839.92
2025;3;9;9;2;1;39;3923;39232190;NI ;593857.63;1428501.56;1390222.56
2025;2;5;5;2;3;39;3920;39204333;CO ;390.73;3722.42;3579.84
2025;8;7;7;2;3;61;6115;61153000;GT ;64.78;1446.92;1434.24
2025;11;7;7;2;3;85;8518;85183000;GT ;1958.52;27553.24;27336.18
2025;9;11;11;2;1;94;9401;94017900;HN ;29.6;150.15;145.84
2025;5;3;3;2;1;22;2201;22019000;US ;1.5;3;3
2025;5;9;9;2;1;38;3819;38190000;HN ;6197.53;27774.08;27771.7
2025;1;7;7;2;3;94;9401;94018000;GT ;479.85;2713.32;2691
2025;2;9;9;2;1;72;7210;72107010;HN ;59165;115650.9;112850.4
2025;3;7;7;2;1;96;9608;96081000;GT ;60;102.78;96
2025;8;5;5;2;1;39;3926;39261010;GT ;5820.19;13082.23;12811.84
2025;1;7;7;2;3;49;4911;49119100;GT ;161.12;1151.38;1144.08
2025;2;9;9;2;1;48;4808;48089000;HN ;72.72;227.36;170
2025;4;9;9;2;1;84;8424;84248210;PA ;2179.2;33223.09;32580
2025;4;3;3;2;1;61;6108;61083100;TE ;18.91;1008.56;1008.56
2025;9;8;8;2;3;52;5202;52029900;BE ;15535.24;15706.34;14603.13
2025;11;9;9;2;1;76;7607;76072090;NI ;829.5;8318.1;8083.81
2025;9;8;8;2;1;40;4008;40082990;GT ;14.4;51.64;50.4
2025;1;21;99999;2;3;63;6304;63049300;US ;76.6;145;145
2025;11;5;5;2;3;16;1605;16055400;GT ;851;5993.29;5892.25
2025;2;9;9;2;1;73;7320;73202000;CR ;3996.5;5546.28;5188.63
2025;10;7;7;2;1;82;8208;82089000;GT ;25.6;181.39;177
2025;6;3;3;2;3;63;6307;63079090;CA ;386;11646.55;10661.7
2025;11;8;8;2;1;82;8201;82011000;DO ;1111.86;4785.83;4666.19
2025;5;7;7;2;3;82;8205;82052000;GT ;983.55;4104.97;4072.32
2025;6;9;9;2;3;96;9603;96033000;CR ;4.06;156.98;148.64
2025;8;5;5;2;3;39;3920;39201019;CO ;617.82;3325.17;3205.2
2025;11;9;9;2;3;61;6107;61071100;NI ;8.37;403.81;371.61
2025;6;11;11;2;1;33;3305;33059000;HN ;11093.99;58472.37;57157.16
2025;11;3;3;2;1;95;9507;95072000;US ;2.46;138.84;135.37
2025;1;5;5;2;1;72;7210;72104990;GT ;6000;5641.05;5259.9
2025;9;11;11;2;1;32;3204;32041100;HN ;800;1613.29;1504
2025;1;11;11;2;1;22;2203;22030000;HN ;1255872;878498;758140.8
2025;1;5;5;2;3;63;6308;63080000;PE ;386.46;3765.27;3486.72
2025;9;9;9;2;1;84;8421;84212100;HN ;252.25;9228.06;9091.68
2025;6;3;3;2;1;82;8201;82014010;PL ;750.75;30626.43;30626.43
2025;4;7;7;2;3;12;1211;12119091;GT ;24.21;653.32;648.96
2025;10;9;9;2;1;87;8708;87083010;NI ;2210.88;19769.34;19165.55
2025;1;9;9;2;3;39;3923;39235090;CR ;3.83;137.34;128.8
2025;2;3;3;2;1;30;3004;30049091;DO ;3507.6;93853.07;91157
2025;8;7;7;2;3;95;9503;95030049;GT ;16395.78;149064.85;147870.42
2025;7;7;7;2;1;56;5607;56075000;GT ;16.2;308.73;302.4
2025;11;8;8;2;3;61;6110;61103000;CA ;6890;179003.75;173159.51
2025;7;8;8;2;3;38;3824;38249999;US ;197009.02;273691.8;273691.8
2025;8;9;9;2;3;48;4822;48229000;NI ;2490;7828.69;7257.94
2025;11;7;7;2;1;82;8207;82075000;GT ;2.76;92;89.7
2025;3;8;8;2;3;61;6105;61052000;MX ;80.46;2370.98;2370.98
2025;5;5;5;2;3;95;9503;95030090;MX ;2603.35;17427.05;15926.16
2025;8;7;7;2;3;71;7117;71171900;GT ;278.05;15694.42;15583.68
2025;6;5;5;2;1;17;1704;17049000;GT ;128138.05;407946.08;390841.38
2025;10;7;7;2;1;39;3926;39269093;GT ;46.28;299.7;292.21
2025;10;2;2;2;3;84;8413;84132000;CO ;19149.51;111277.63;108318.72
2025;5;20;99999;2;3;34;3403;34039900;TE ;38.48;497.39;497.39
2025;1;5;5;2;3;39;3918;39189000;CO ;695.05;6392.77;6148.8
2025;11;11;11;2;1;69;6913;69139000;HN ;45;106.8;96
2025;5;3;3;2;1;30;3004;30049091;HN ;470.95;60489.07;59041.84
2025;5;2;2;2;1;21;2106;21069099;ES ;11740.91;36630;36630
2025;9;2;2;2;3;61;6111;61113000;PE ;238.08;2897.8;2806.08
2025;1;9;9;2;3;49;4911;49119990;NI ;6295.36;62243.79;58770.81
2025;1;11;11;2;3;70;7020;70200099;HN ;1.36;123.95;122.45
2025;5;5;5;2;1;48;4819;48192020;US ;16977;62442.22;59625.76
2025;2;9;9;2;1;49;4901;49019900;CR ;148.74;2045.05;1036.8
2025;2;9;9;2;3;70;7013;70132800;NI ;4552.27;11573.21;11115.9
2025;7;11;11;2;3;34;3401;34013000;HN ;774.46;2777.66;2628.47
2025;6;3;3;2;1;82;8215;82159900;US ;6;18;18
2025;7;5;5;2;3;53;5310;53109000;CO ;105.55;1391.29;1323
2025;8;3;3;2;3;58;5807;58079000;GT ;16.5;5597;5597
2025;3;3;3;2;1;7;709;7099990;GB ;78;1168.25;554.35
2025;10;4;4;2;1;84;8481;84814000;GT ;33;1020.82;960.7
2025;4;2;2;2;3;94;9405;94056100;MX ;476.2;2177.86;2036.4
2025;4;11;11;2;1;39;3925;39259090;HN ;276480.98;344241.99;318320
2025;7;4;4;2;1;85;8536;85363010;GT ;9.25;116.45;112.34
2025;11;9;9;2;1;17;1703;17031000;NI ;352000;111936;82028.64
2025;7;9;9;2;3;87;8704;87042290;NI ;20440;114267.46;104930.51
2025;12;4;4;2;1;84;8438;84386090;GT ;60;3610;3503.19
2025;3;9;9;2;3;42;4202;42021200;NI ;26;502.68;486.4
2025;9;11;11;2;1;55;5514;55142200;HN ;439.28;7507.7;7354.26
2025;9;37;99999;2;3;60;6006;60062200;NI ;8613.37;80621.96;79124.9
2025;10;5;5;2;1;47;4707;47073000;GT ;113981;19718.98;17971.88
2025;10;8;8;2;1;27;2710;27101992;TT ;18600;75482.2;75387.4
2025;1;2;2;2;3;82;8214;82142000;CO ;285.92;2842.9;2738.88
2025;4;5;5;2;3;39;3921;39211300;PE ;33.5;370.94;352.8
2025;4;2;2;2;1;9;901;9011130;CN ;18975;164288.44;147675
2025;3;5;5;2;3;85;8506;85061020;CO ;750.4;24544.79;23718
2025;5;9;9;2;1;30;3004;30043210;NI ;5231.72;184827.93;180704.3
2025;9;7;7;2;1;84;8467;84672100;GT ;58.27;1211.64;1181.35
2025;12;11;11;2;1;30;3004;30043210;HN ;242.07;16162.84;16020.85
2025;7;3;3;2;1;85;8536;85362010;US ;14.28;510.29;495.04
2025;1;5;5;2;3;58;5806;58063190;GT ;47.68;1878.75;1556.02
2025;2;9;9;2;1;68;6805;68052010;HN ;30.08;501.75;487.05
2025;4;9;9;2;1;19;1905;19059000;HN ;481612.55;1150952.2;1065484.07
2025;8;4;4;2;1;85;8507;85072000;GT ;1736.9;8288.2;7542.05
2025;12;9;9;2;1;34;3402;34029020;CR ;22680;44515.36;35838.58
2025;9;5;5;2;3;95;9505;95051000;MX ;162.55;1356.53;1244.4
